Date,EUR PR,EUR NR,EUR GR,USD PR,USD NR,USD GR,EUR (Price),EUR (Net Return),EUR (Gross Return),USD (Price),USD (Net Return),USD (Gross Return)
3/15/2019,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
3/18/2019,1007.560016,1007.668348,1007.664088,1008.582131,1008.686584,1008.689689,1007.57402,1007.794598,1007.794598,1008.597063,1008.817875,1008.817875
3/19/2019,1007.30478,1007.624005,1007.710788,1009.127323,1009.440705,1009.533172,1007.246038,1007.686082,1007.780219,1009.069132,1009.50999,1009.604317
3/20/2019,998.3571434,998.9327005,999.0711769,1000.649038,1001.221107,1001.371417,998.0816615,998.7767482,998.9220672,1000.372846,1001.069556,1001.215236
3/21/2019,1000.625508,1001.356296,1001.494419,1003.671698,1004.400088,1004.551164,1000.284907,1001.144608,1001.290295,1003.331848,1004.194176,1004.340335
3/22/2019,997.4188817,998.3180094,998.5159586,993.6320142,994.5192167,994.732786,996.6823516,997.7133959,997.9273241,992.8983756,993.9254696,994.1386493
3/25/2019,990.6497372,991.5411163,991.7391823,990.342321,991.2266447,991.4377431,990.2160542,991.2404093,991.4529496,989.910046,990.9340488,991.1465869
3/26/2019,1000.690215,1001.590246,1001.79019,996.6658013,997.5577857,997.7668954,1000.400987,1001.435878,1001.650605,996.3820502,997.4127478,997.6266755
3/27/2019,999.7519538,1002.058145,1002.838359,993.220339,995.5068305,996.2923182,999.0751745,1001.588835,1002.413375,992.547581,995.0448005,995.8639616
3/28/2019,998.9610819,1001.264551,1002.044449,990.9357267,993.2144936,993.9985315,998.4334634,1000.945509,1001.76952,990.4114315,992.9032765,993.7206747
3/29/2019,1004.554703,1006.871696,1007.658899,995.9055001,998.1983147,998.9866074,1004.333829,1006.86072,1007.6896,995.6879918,998.1931124,999.0148654
4/1/2019,1015.889335,1018.315349,1019.136869,1006.471832,1008.87117,1009.690946,1016.516532,1019.158797,1020.026064,1007.092709,1009.710419,1010.569672
4/2/2019,1019.477018,1022.610541,1023.433325,1007.280347,1010.374678,1011.195864,1019.912769,1023.300871,1024.171639,1007.710901,1011.058372,1011.918824
4/3/2019,1023.977798,1027.125921,1027.952905,1015.254237,1018.371826,1019.199845,1024.435535,1027.838662,1028.713291,1015.707098,1019.081131,1019.948411
4/4/2019,1023.280393,1026.659551,1027.610434,1013.385009,1016.731061,1017.68279,1023.954501,1027.60308,1028.610674,1014.054868,1017.668085,1018.666032
4/5/2019,1021.651916,1025.379709,1026.520753,1012.361384,1016.047936,1017.185196,1022.461664,1026.4746,1027.680437,1013.163273,1017.139614,1018.334546
4/8/2019,1017.578925,1021.290943,1022.426667,1011.782813,1015.468935,1016.602647,1018.385185,1022.382122,1023.583152,1012.585625,1016.559699,1017.75395
4/9/2019,1013.753981,1017.693012,1018.929311,1009.008641,1012.922595,1014.163223,1014.621601,1018.857151,1020.16276,1009.873693,1014.089316,1015.388884
4/10/2019,1017.675987,1021.627341,1022.867728,1010.933501,1014.855226,1016.098985,1018.562992,1022.814995,1024.125676,1011.818139,1016.04188,1017.343949
4/11/2019,1017.082833,1021.034057,1022.276187,1012.324296,1016.248298,1017.494675,1018.081635,1022.331629,1023.641691,1013.317535,1017.547535,1018.851534
4/12/2019,1018.941382,1022.919416,1024.170156,1017.861514,1021.830052,1023.089573,1020.386563,1024.669239,1025.990032,1019.305462,1023.583546,1024.902941
4/15/2019,1019.958731,1023.940843,1025.192381,1018.473464,1022.445338,1023.702463,1021.502697,1025.790057,1027.112296,1020.014524,1024.295585,1025.615897
4/16/2019,1021.630346,1025.618246,1026.873602,1019.281979,1023.25941,1024.515604,1023.29267,1027.587543,1028.912098,1020.943592,1025.228552,1026.550067
4/17/2019,1021.899962,1025.888894,1027.143428,1019.778956,1023.754794,1025.013198,1023.821092,1028.118183,1029.443422,1021.696807,1025.984928,1027.307418
4/18/2019,1024.20068,1028.521974,1029.784606,1016.741461,1021.030179,1022.2825,1026.770907,1031.080379,1032.409436,1019.291779,1023.569806,1024.889182
4/23/2019,1023.956229,1028.757452,1030.256801,1013.195861,1017.949013,1019.436505,1026.212167,1031.024884,1032.609805,1015.42996,1020.192071,1021.760315
4/24/2019,1020.4009,1025.583077,1027.242018,1009.275674,1014.39455,1016.044371,1022.436609,1027.644554,1029.396387,1011.287847,1016.438995,1018.171681
4/25/2019,1021.910747,1027.098398,1028.757193,1005.489003,1010.587662,1012.227461,1023.731768,1028.94631,1030.700363,1007.281194,1012.411934,1014.137755
4/26/2019,1024.218655,1029.653495,1031.419128,1009.431443,1014.784232,1016.529828,1025.828359,1031.300423,1033.1645,1011.019692,1016.41275,1018.249875
4/29/2019,1025.645819,1031.468515,1033.266396,1011.159737,1016.888827,1018.67191,1027.408165,1033.284796,1035.185225,1012.894182,1018.687815,1020.561303
4/30/2019,1023.014372,1029.109141,1031.024767,1012.264956,1018.292943,1020.195033,1024.476419,1030.643167,1032.66532,1013.712448,1019.81442,1021.815245
5/1/2019,1019.6999,1025.777271,1027.688268,1012.001632,1018.029474,1019.934099,1021.182222,1027.329141,1029.344792,1013.473308,1019.573841,1021.574194
5/2/2019,1019.57408,1026.680958,1028.700115,1006.746282,1013.758754,1015.765233,1021.490381,1028.725939,1030.861888,1008.638322,1015.782887,1017.891835
5/3/2019,1024.150352,1031.335485,1033.364986,1011.627044,1018.71891,1020.729036,1025.758046,1033.070907,1035.215902,1013.214558,1020.438028,1022.556673
5/6/2019,1013.387304,1021.4622,1023.469647,1001.665245,1009.641067,1011.632776,1014.598648,1022.84627,1024.970055,1002.863528,1011.015766,1013.114876
5/7/2019,1009.648637,1018.01259,1020.013803,997.3445091,1005.599108,1007.591342,1011.133745,1019.689742,1021.806978,998.813792,1007.265542,1009.356836
5/8/2019,1003.300093,1011.610323,1013.600253,992.3116864,1000.52536,1002.506174,1005.272536,1013.778936,1015.883899,994.2666194,1002.679892,1004.761665
5/9/2019,992.6628657,1001.489326,1003.699726,984.2042799,992.9494471,995.1514931,994.2381565,1003.286897,1005.622694,985.7670594,994.7387054,997.054464
5/10/2019,996.764615,1005.628552,1007.845701,989.5486407,998.3418816,1000.552208,998.7527542,1007.842583,1010.188986,991.5218423,1000.545864,1002.875141
5/13/2019,984.52048,994.7812418,997.296554,977.302229,987.4844403,989.993507,986.112706,996.6750264,999.3333167,978.8862676,989.3711603,992.0098355
5/14/2019,989.7150704,1001.597891,1004.197865,979.7537366,991.5090455,994.095623,991.8135289,1003.851197,1006.59765,981.8306309,993.7470926,996.465821
5/15/2019,988.6078498,1000.521417,1003.134129,978.1775025,989.9582078,992.5542954,991.0795873,1003.155152,1005.919763,980.6228132,992.5708812,995.306322
5/16/2019,995.7868097,1008.669897,1011.33268,982.8616994,995.5746698,998.2098754,998.9774293,1011.906829,1014.719377,986.0117453,998.7732144,1001.549279
5/17/2019,992.0661169,1005.523046,1008.203739,977.4802507,990.7312602,993.3856414,995.4744765,1009.010875,1011.848074,980.8403468,994.1776505,996.973131
5/20/2019,992.5765888,1008.084259,1011.327491,978.4667878,993.7461643,996.9537541,996.278699,1011.980801,1015.408242,982.1165669,997.5953688,1000.974062
5/21/2019,996.0528302,1011.613381,1014.866358,983.3401328,998.6984323,1001.923625,999.78835,1015.545766,1018.985282,987.0328514,1002.589137,1005.984743
5/22/2019,993.6262915,1009.1485,1012.396415,978.5372548,993.8155813,997.0265727,997.9504564,1013.678883,1017.112121,982.7953216,998.2848279,1001.665855
5/23/2019,982.9459259,999.0275036,1002.506266,967.6705114,983.4992766,986.9290565,986.737522,1003.053092,1006.725256,971.4041888,987.4661773,991.0811868
5/24/2019,985.3688698,1001.602478,1005.137066,974.7542929,990.8085654,994.3140789,989.0020375,1005.474424,1009.206833,978.3488659,994.643805,998.3358577
5/27/2019,985.8973161,1002.98324,1006.890933,974.2350629,991.1162087,994.981583,989.5527041,1006.92442,1011.045626,977.8451571,995.0113391,999.0836566
5/28/2019,981.5331411,998.6008896,1002.511455,968.3603457,985.1952588,989.0590013,985.2803104,1002.638366,1006.762608,972.0574439,989.1825421,993.2512981
5/29/2019,976.2522738,993.2276941,997.1149406,960.4346697,977.1318496,980.9639973,979.9058273,997.1691986,1001.270944,964.029759,981.0134305,985.0485848
5/30/2019,974.7316428,992.1603946,996.0460157,957.5603605,974.6785917,978.5003004,978.2657884,996.0040918,1000.101034,961.0343097,978.4601578,982.4848525
5/31/2019,968.5951958,986.0272452,989.9074809,952.9874272,970.1349371,973.9612726,971.2221143,988.9478786,993.0404178,955.5725103,973.0126501,977.0391824
6/3/2019,969.0229856,986.4615046,990.3433532,958.3725847,975.6141428,979.4651472,971.3157861,989.0432599,993.1361939,960.6387279,978.1713311,982.2192112
6/4/2019,977.3163559,994.9050975,998.822107,969.291251,986.7318976,990.6246018,979.985817,997.8715275,1002.000995,971.9389905,989.6778347,993.7733311
6/5/2019,977.9310791,996.1176598,1000.041512,972.4066313,990.4851456,994.3929657,980.445768,998.9576308,1003.091627,974.9055794,993.3128239,997.4233734
6/6/2019,980.4474897,998.8195484,1002.802036,976.6828617,994.9814704,998.9562663,982.7355978,1001.437729,1005.634303,978.9612266,997.5915301,1001.771937
6/7/2019,982.7374233,1001.396052,1005.495104,983.7332641,1002.410661,1006.517267,984.6213628,1003.617614,1007.931724,985.6211462,1004.636659,1008.955135
6/10/2019,985.4263878,1004.136168,1008.245251,984.4676038,1003.158471,1007.269726,987.2438632,1006.29071,1010.616311,986.2850785,1005.3134,1009.634785
6/11/2019,989.9163833,1008.867149,1013.060602,988.9107295,1007.840959,1012.039346,991.9590374,1011.260811,1015.67842,990.95187,1010.234027,1014.647111
6/12/2019,986.4760905,1005.359434,1009.54249,985.9956236,1004.868652,1009.053783,988.2790818,1007.50925,1011.91047,987.7991879,1007.019999,1011.419043
6/13/2019,990.3657423,1009.640864,1013.968669,985.6877944,1004.87023,1009.187283,992.2478881,1011.885346,1016.445547,987.5608975,1007.105563,1011.644196
6/14/2019,991.4585835,1010.780031,1015.130995,982.6169195,1001.766977,1006.080355,993.4570793,1013.148872,1017.727854,984.5979374,1004.114078,1008.652177
6/17/2019,987.0189162,1006.253947,1010.58547,978.3036012,997.3684667,1001.662692,989.1697948,1008.776608,1013.335828,980.4362037,999.8698523,1004.38877
6/18/2019,998.367928,1017.919316,1022.338455,985.9844973,1005.289887,1009.660605,1000.49536,1020.425216,1025.079479,988.0841705,1007.766747,1012.363222
6/19/2019,1001.747108,1021.480549,1025.918834,991.9741868,1011.512169,1015.91087,1003.9235,1024.043701,1028.714506,994.1289275,1014.052807,1018.677921
6/20/2019,1002.645826,1022.76192,1027.205695,999.5475281,1019.605554,1024.036215,1005.20535,1025.739916,1030.418451,1002.099063,1022.57015,1027.234116
6/21/2019,999.8238513,1019.884187,1024.315447,999.3361273,1019.39257,1023.823827,1002.601109,1023.082474,1027.748889,1002.114262,1022.585659,1027.249696
6/24/2019,995.0786199,1015.325993,1019.837378,1000.656455,1021.020713,1025.559338,997.7948031,1018.477877,1023.227951,1003.389048,1024.188048,1028.964644
6/25/2019,993.8240094,1014.04768,1018.555706,998.7798094,1019.108592,1023.635713,995.6888302,1016.32825,1021.068299,1000.655872,1021.398216,1026.161801
6/26/2019,991.3723065,1011.78158,1016.340022,995.7942365,1016.295628,1020.874673,993.5642522,1014.408435,1019.203258,997.9943609,1018.93148,1023.747544
6/27/2019,995.1613019,1016.260262,1021.093105,998.8947817,1020.074118,1024.928243,997.5305483,1019.105045,1024.191926,1001.273736,1022.929147,1028.034987
6/28/2019,996.2361687,1017.437655,1022.302132,1001.687498,1023.008562,1027.901671,998.5444241,1020.226833,1025.348126,1004.01064,1025.811699,1030.960855
7/1/2019,1001.937636,1023.260401,1028.155274,1001.80247,1023.125309,1028.023035,1004.128714,1025.93238,1031.082314,1003.995775,1025.796511,1030.945592
7/2/2019,1008.72116,1030.190203,1035.118853,1005.960019,1027.370786,1032.288993,1010.704786,1032.651246,1037.834907,1007.938441,1029.824788,1034.994089
7/3/2019,1018.233192,1040.256152,1045.382608,1014.230612,1036.172539,1041.282093,1020.720267,1043.255867,1048.652902,1016.709876,1039.156878,1044.532529
7/4/2019,1020.354167,1042.419803,1047.55678,1016.385417,1038.373372,1043.490925,1022.818507,1045.400431,1050.808561,1018.845031,1041.339173,1046.726113
7/5/2019,1021.745382,1043.84185,1048.988932,1012.40589,1034.30617,1039.407014,1024.731256,1047.355411,1052.773654,1015.367025,1037.784379,1043.15293
7/8/2019,1015.209905,1037.460989,1042.699917,1005.303564,1027.34081,1032.531722,1018.118447,1040.9075,1046.426354,1008.185385,1030.75204,1036.216922
7/9/2019,1011.449668,1033.864588,1039.192183,1000.775136,1022.958077,1028.229354,1014.331619,1037.295303,1042.906855,1003.629501,1026.350863,1031.903042
7/10/2019,1009.932632,1032.314098,1037.635497,1003.241479,1025.480752,1030.76587,1012.787331,1035.716053,1041.319062,1006.080766,1028.857623,1034.423361
7/11/2019,1011.467643,1033.885995,1039.212939,1004.947521,1027.224064,1032.519585,1014.191174,1037.151679,1042.762454,1007.654384,1030.466866,1036.04131
7/12/2019,1014.020002,1036.512958,1041.864496,1007.436116,1029.790913,1035.104646,1016.664163,1039.70474,1045.337421,1010.066548,1032.957598,1038.553497
7/15/2019,1012.405904,1034.866136,1040.209219,1006.686941,1029.022594,1034.333983,1014.732035,1037.728825,1043.350802,1008.998108,1031.864943,1037.454923
7/16/2019,1015.05892,1037.57567,1042.933421,1005.871008,1028.18959,1033.496568,1017.357144,1040.413425,1046.049946,1008.150126,1030.997743,1036.583025
7/17/2019,1010.586899,1033.006772,1038.341195,1001.62074,1023.844721,1029.127451,1012.583833,1035.531937,1041.142013,1003.59881,1026.343281,1031.903348
7/18/2019,1011.650981,1034.090892,1039.430875,1002.04725,1024.280154,1029.564363,1013.554025,1036.524117,1042.139568,1003.933981,1026.686048,1032.247972
7/19/2019,1014.242884,1036.742321,1042.09281,1004.928977,1027.227219,1032.525653,1016.157944,1039.187048,1044.816925,1006.827199,1029.644835,1035.222788
7/22/2019,1011.147699,1033.730028,1039.124727,1001.906316,1024.284887,1029.637181,1012.714048,1035.821264,1041.500194,1003.459632,1026.355682,1031.982519
7/23/2019,1021.069546,1043.873961,1049.321025,1005.203427,1027.653187,1033.023247,1022.861797,1046.200556,1051.93639,1006.967117,1029.943198,1035.589702
7/24/2019,1023.36667,1046.276149,1051.754645,1006.827875,1029.369678,1034.764826,1024.981396,1048.426258,1054.193665,1008.420291,1031.486325,1037.160345
7/25/2019,1017.226628,1041.216416,1046.66428,1002.184475,1025.81206,1031.190645,1019.941274,1043.409357,1049.149171,1004.85743,1027.978373,1033.633122
7/26/2019,1015.127223,1039.591001,1045.029759,997.2443719,1021.268405,1026.627345,1017.645457,1041.611909,1047.341843,999.7203292,1023.264559,1028.893406
7/29/2019,1013.631756,1038.05886,1043.488639,996.2207469,1020.222418,1025.571475,1015.79799,1039.720933,1045.440465,998.3538439,1021.865892,1027.487045
