,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight
0,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,627102,AU000000IAG3,6271026,IAG.AX,,Insurance Australia Group Ltd.,AU,AUD,ASX,8536,,,1.0,4166153,6.1,0.7181588,25413533,18250953.0,1.82005
1,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,076764,GB00B019KW72,B019KW7,SBRY.L,,SAINSBURY (J),GB,GBP,LSE,5337,,,1.0,4821300,2.729,1.3666805,13157328,17981863.0,1.79321
2,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,083860,GB0004082847,0408284,STAN.L,,STANDARD CHARTERED,GB,GBP,LSE,8355,,,1.0,1146048,11.41,1.3666805,13076408,17871271.0,1.78218
3,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,656387,SG1M77906915,6563875,AEMN.SI,,Ascendas Real Estate Investmen,SG,SGD,Singapore Exchange,8671,,,1.0,9655249,2.59,0.6694562,25007095,16741155.0,1.66948
4,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,499187,CH0011075394,5983816,ZURN.VX,,ZURICH INSURANCE GROUP,CH,CHF,,8532,,,1.0,52802,331.9,0.9464769,17524984,16586992.0,1.65411
5,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,080341,GB00B03MM408,B03MM40,RDSb.L,,ROYAL DUTCH SHELL B,GB,GBP,LSE,0537,,,1.0,536729,22.15,1.3666805,11888547,16247846.0,1.62029
6,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,079087,GB0007908733,0790873,SSE.L,,SCOTTISH & SOUTHERN ENERGY,GB,GBP,LSE,7535,,,1.0,743643,15.68,1.3666805,11660322,15935935.0,1.58919
7,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,658508,AU000000SUN6,6585084,SUN.AX,,SUNCORP GROUP LTD.,AU,AUD,ASX,8775,,,1.0,1612839,13.75,0.7181588,22176536,15926275.0,1.58822
8,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,649026,SG1U68934629,B1VQ5C0,KPLM.SI,,Keppel Corp. Ltd.,SG,SGD,Singapore Exchange,0573,,,1.0,2584650,8.86,0.6694562,22899999,15330546.0,1.52881
9,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,662460,AU000000NAB4,6624608,NAB.AX,,National Australia Bank Ltd.,AU,AUD,ASX,8355,,,1.0,531377,39.18,0.7181588,20819351,14951600.0,1.49102
10,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,037178,GB0009252882,0925288,GSK.L,,GLAXOSMITHKLINE,GB,GBP,LSE,4577,,,1.0,669611,16.155,1.3666805,10817566,14784156.0,1.47433
11,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,642012,SG1M51904654,6420129,CMLT.SI,,CapitaMall Trust Management Lt,SG,SGD,Singapore Exchange,8672,,,1.0,10172389,2.16,0.6694562,21972360,14709533.0,1.46688
12,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,003195,GB00B2988H17,B2988H1,AML.L,,AMLIN,GB,GBP,LSE,8536,,,1.0,2013278,5.28,1.3666805,10630108,14527961.0,1.44878
13,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,618107,BMG5485F1692,6286257,0494.HK,,Li & Fung Ltd.,HK,HKD,Hong Kong Stock Exchange,3763,,,1.0,16815933,7.31,0.118008,122924470,14506071.0,1.44659
14,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,606558,AU000000ANZ3,6065586,ANZ.AX,,Australia & New Zealand Bankin,AU,AUD,ASX,8355,,,1.0,546231,36.8,0.7181588,20101301,14435926.0,1.4396
15,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,478165,CH0126881561,B545MG5,SRENH.VX,,SWISS REINSURANCE COMPANY,CH,CHF,,8538,,,1.0,159078,94.65,0.9464769,15056733,14250850.0,1.42114
16,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,688167,HK0000139300,B87ZDH1,0511.HK,,Television Broadcasts Ltd.,HK,HKD,Hong Kong Stock Exchange,5553,,,1.0,2452662,48.45,0.118008,118831474,14023065.0,1.39843
17,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,B00LBS,BMG196F11004,B00LBS7,CGL.L,,CATLIN GRP,GB,GBP,LSE,8536,,,1.0,1360015,7.1,1.3666805,9656107,13196812.0,1.31603
18,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,073655,GB0007365546,0736554,CLLN.L,,CARILLION,GB,GBP,LSE,2791,,,1.0,2819251,3.311,1.3666805,9334540,12757334.0,1.2722
19,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,B04PZ7,SG1Q52922370,B04PZ72,SUNT.SI,,Suntec Real Estate Investment,SG,SGD,Singapore Exchange,8671,,,1.0,10115980,1.875,0.6694562,18967463,12697886.0,1.26628
20,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,663376,HK0017000149,6633767,0017.HK,,New World Development Co. Ltd.,HK,HKD,Hong Kong Stock Exchange,8633,,,1.0,11923571,8.82,0.118008,105165896,12410418.0,1.23761
21,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,594176,CH0008038389,B083BH4,SPSN.S,,SWISS PRIME SITE,CH,CHF,SIX Swiss Exchange,8633,,,1.0,150160,86.3,0.9464769,12958808,12265212.0,1.22313
22,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,098952,GB0009895292,0989529,AZN.L,,ASTRAZENECA,GB,GBP,LSE,4577,,,1.0,180815,48.4,1.3666805,8751446,11960431.0,1.19273
23,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,725147,IT0003153415,7251470,SRG.MI,,SNAM RETE GAS,IT,EUR,Milan,7573,,,1.0,2530035,4.572,1.0,11567320,11567320.0,1.15353
24,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,681075,SG1T75931496,B02PY22,STEL.SI,,Singapore Telecommunications L,SG,SGD,Singapore Exchange,6575,,,1.0,3991304,4.28,0.6694562,17082781,11436174.0,1.14045
25,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,QCSB,US6494451031,2711656,NYCB.N,,New York Community Bancorp Inc,US,USD,New York Stock Exchange,8355,,,1.0,742253,16.83,0.9152062,12492118,11432864.0,1.14012
26,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,064623,GB00B39J2M42,B39J2M4,UU.L,,UNITED UTILITIES GRP,GB,GBP,LSE,7577,,,1.0,856331,9.58,1.3666805,8203651,11211770.0,1.11808
27,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,681042,HK0083000502,6810429,0083.HK,,Sino Land Co. Ltd.,HK,HKD,Hong Kong Stock Exchange,8633,,,1.0,7721277,12.08,0.118008,93273026,11006963.0,1.09765
28,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,616400,HK0008011667,6574071,0008.HK,,PCCW,HK,HKD,Hong Kong Stock Exchange,6535,,,1.0,19449082,4.79,0.118008,93161103,10993755.0,1.09633
29,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,407228,ES0113900J37,5705946,SAN.MC,,BCO SANTANDER,ES,EUR,SIBE,8355,,,1.0,1600188,6.834,1.0,10935685,10935685.0,1.09054
