Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;SEDOL;RIC;Instrument_Name;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Close_Price;Close_Price_Currency;New_Shares;New_Float;New_CapFactor;New_WeightFactor;New_Mcap_Units;Weights;Index_Membership_Previous;New_Index_Membership;Changes
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;B05NXN;KYG9828G1082;B05NXN7;0868.HK;XINYI GLASS HOLDINGS;HK;HKD;Stock Exchange of Hong Kong;50;5020;502030;50203020;.8970208;EUR;;;1;23209783;20819658;2.08197;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;NO10Q2;NO0010345853;B1L95G3;AKRBP.OL1;AKER BP;NO;NOK;Oslo Stock Exchange;60;6010;601010;60101010;19.8995529;EUR;;;1;1006170;20022333;2.00224;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;642053;HK0012000102;6420538;0012.HK;Henderson Land Development Co.;HK;HKD;Stock Exchange of Hong Kong;35;3510;351010;35101010;2.6898774;EUR;;;1;7154009;19243407;1.92434;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;051152;GB0005603997;0560399;LGEN.L;LEGAL & GENERAL GRP;GB;GBP;London Stock Exchange;30;3030;303010;30301010;2.8646365;EUR;;;1;6685968;19152868;1.91529;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;608625;AU000000FMG4;6086253;FMG.AX;FORTESCUE;AU;AUD;Australian Securities Exchange;55;5510;551020;55102010;9.1775019;EUR;;;1;2084067;19126529;1.91265;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;087823;GB0008782301;0878230;TW.L;TAYLOR WIMPEY;GB;GBP;London Stock Exchange;40;4020;402020;40202010;1.3232403;EUR;;;1;14328456;18959990;1.896;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;697972;AU0000224040;BMGT167;WDS.AX;WOODSIDE ENERGY GROUP;AU;AUD;Australian Securities Exchange;60;6010;601010;60101010;13.1438039;EUR;;;1;1368993;17993776;1.79938;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;071887;GB0007188757;0718875;RIO.L;RIO TINTO;GB;GBP;London Stock Exchange;55;5510;551020;55102000;56.3867273;EUR;;;1;268312;15129236;1.51292;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;425305;DK0010244425;4253059;MAERSKa.CO;A P MOLLER-MAERSK A;DK;DKK;NASDAQ  Copenhagen;50;5020;502060;50206030;1624.64358;EUR;;;1;9190;14930475;1.49305;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;CN1156;KYG8187G1055;B61X7R5;1308.HK;SITC Int. Hold.;HK;HKD;Stock Exchange of Hong Kong;50;5020;502060;50206030;2.3817857;EUR;;;1;6216124;14805475;1.48055;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;EG7;DE0007664039;5497168;VOWG_p.DE;VOLKSWAGEN PREF;DE;EUR;Deutsche Boerse;40;4010;401010;40101020;107.7;EUR;;;1;135162;14556947;1.4557;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;NL602G;NL0011540547;BYQP136;ABNd.AS1;ABN AMRO BANK;NL;EUR;EURONEXT Amsterdam;30;3010;301010;30101010;18.995;EUR;;;1;754482;14331386;1.43314;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;640837;HK0011000095;6408374;0011.HK;Hang Seng Bank Ltd.;HK;HKD;Stock Exchange of Hong Kong;30;3010;301010;30101010;12.6436086;EUR;;;1;1120933;14172638;1.41727;;Y;Addition
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;NL403F;NL0010773842;BNG8PQ9;NN.AS1;NN GROUP;NL;EUR;EURONEXT Amsterdam;30;3030;303010;30301010;49.13;EUR;;;1;277177;13617706;1.36177;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;HK50CI;KYG2177B1014;BYZQ077;1113.HK;CK Asset Holdings Ltd;HK;HKD;Stock Exchange of Hong Kong;35;3510;351010;35101010;4.1059141;EUR;;;1;3290318;13509763;1.35098;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;609128;AU000000BEN6;6091280;BEN.AX;Bendigo & Adelaide Bank Ltd.;AU;AUD;Australian Securities Exchange;30;3010;301010;30101010;5.8307536;EUR;;;1;2289758;13351015;1.3351;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;622010;AU000000RIO1;6220103;RIO.AX;Rio Tinto Ltd.;AU;AUD;Australian Securities Exchange;55;5510;551020;55102000;67.160785;EUR;;;1;192886;12954375;1.29544;Y;Y;
