,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Weightfactor
0,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,627102,AU000000IAG3,6271026,IAG.AX,,Insurance Australia Group Ltd.,AU,AUD,ASX,8536.0,,,1.0,4166153.0,6.1,0.7181588,25413533.0,18250953.0,0.018200499999999998,2015-02-27,33309355.41,83273388.525,PASS,0.018395380256093292,1.0,4199122
1,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,076764,GB00B019KW72,B019KW7,SBRY.L,,SAINSBURY (J),GB,GBP,LSE,5337.0,,,1.0,4821300.0,2.729,1.3666805,13157328.0,17981863.0,0.0179321,2015-02-27,28654035.31,71635088.275,PASS,0.018124106386653693,1.0,4859438
2,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,083860,GB0004082847,0408284,STAN.L,,STANDARD CHARTERED,GB,GBP,LSE,8355.0,,,1.0,1146048.0,11.41,1.3666805,13076408.0,17871271.0,0.017821800000000002,2015-02-27,97422767.83,243556919.575,PASS,0.018012625359085932,1.0,1155113
3,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,656387,SG1M77906915,6563875,AEMN.SI,,Ascendas Real Estate Investmen,SG,SGD,Singapore Exchange,8671.0,,,1.0,9655249.0,2.59,0.6694562,25007095.0,16741155.0,0.0166948,2015-02-27,13712041.83,34280104.575,PASS,0.01687355810551503,1.0,9731611
4,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,499187,CH0011075394,5983816,ZURN.VX,,ZURICH INSURANCE GROUP,CH,CHF,,8532.0,,,1.0,52802.0,331.9,0.9464769,17524984.0,16586992.0,0.0165411,2015-02-27,171036393.85,427590984.625,PASS,0.01671821237625696,1.0,53220
5,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,080341,GB00B03MM408,B03MM40,RDSb.L,,ROYAL DUTCH SHELL B,GB,GBP,LSE,537.0,,,1.0,536729.0,22.15,1.3666805,11888547.0,16247846.0,0.0162029,2015-02-27,128154146.2,320385365.5,PASS,0.016376391129444466,1.0,540975
6,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,079087,GB0007908733,0790873,SSE.L,,SCOTTISH & SOUTHERN ENERGY,GB,GBP,LSE,7535.0,,,1.0,743643.0,15.68,1.3666805,11660322.0,15935935.0,0.0158919,2015-02-27,56867838.72,142169596.8,PASS,0.016062061124244336,1.0,749529
7,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,658508,AU000000SUN6,6585084,SUN.AX,,SUNCORP GROUP LTD.,AU,AUD,ASX,8775.0,,,1.0,1612839.0,13.75,0.7181588,22176536.0,15926275.0,0.0158822,2015-02-27,39530807.07,98827017.675,PASS,0.01605225726234581,1.0,1625597
8,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,649026,SG1U68934629,B1VQ5C0,KPLM.SI,,Keppel Corp. Ltd.,SG,SGD,Singapore Exchange,573.0,,,1.0,2584650.0,8.86,0.6694562,22899999.0,15330546.0,0.0152881,2015-02-27,38899254.56,97248136.4,PASS,0.015451795988746457,1.0,2605092
9,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,662460,AU000000NAB4,6624608,NAB.AX,,National Australia Bank Ltd.,AU,AUD,ASX,8355.0,,,1.0,531377.0,39.18,0.7181588,20819351.0,14951600.0,0.0149102,2015-02-27,124795002.94,311987507.35,PASS,0.015069849657668867,1.0,535580
10,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,037178,GB0009252882,0925288,GSK.L,,GLAXOSMITHKLINE,GB,GBP,LSE,4577.0,,,1.0,669611.0,16.155,1.3666805,10817566.0,14784156.0,0.014743299999999999,2015-02-27,166342620.61,415856551.525,PASS,0.014901162590569502,1.0,674911
