,Date,Next_Trading_Day,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,Close_adjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Index_Close
0,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,12715,GB0002634946,263494,BAES.L,,BAE SYSTEMS,GB,GBP,LSE,2717,,,1,2129195,4.779,4.779,1.1721958,10175423,11927588,1.18496,
1,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,24282,GB00BDR05C01,BDR05C0,NG.L,,NATIONAL GRID,GB,GBP,LSE,7575,,,1,1335742,8.763,8.763,1.1721958,11705107,13720677,1.3631,
2,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,37178,GB0009252882,925288,GSK.L,,GLAXOSMITHKLINE,GB,GBP,LSE,4577,,,1,747149,15.016,15.016,1.1721958,11219189,13151087,1.30651,
3,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,64623,GB00B39J2M42,B39J2M4,UU.L,,UNITED UTILITIES GRP,GB,GBP,LSE,7577,,,1,1171964,8.596,8.596,1.1721958,10074203,11808938,1.17317,
4,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,79087,GB0007908733,790873,SSE.L,,SCOTTISH & SOUTHERN ENERGY,GB,GBP,LSE,7535,,,1,1400918,12.075,12.075,1.1721958,16916085,19828964,1.96993,
5,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,80341,GB00B03MM408,B03MM40,RDSb.L,,ROYAL DUTCH SHELL B,GB,GBP,LSE,537,,,1,530943,24.035,24.035,1.1721958,12761215,14958643,1.48609,
6,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,217052,CA1360691010,2170525,CM.TO,,Canadian Imperial Bank of Comm,CA,CAD,Toronto Stock Exchange,8355,,,1,124619,112.9,112.9,0.6619888,14069485,9313842,0.9253,
7,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,256612,CA8667961053,2566124,SLF.TO,,Sun Life Financial Inc.,CA,CAD,Toronto Stock Exchange,8575,,,1,220973,51.28,51.28,0.6619888,11331495,7501323,0.74523,
8,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,274642,CA56501R1064,2492519,MFC.TO,,Manulife Financial Corp.,CA,CAD,Toronto Stock Exchange,8575,,,1,564366,22.61,22.61,0.6619888,12760315,8447186,0.8392,
9,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,401632,DE0008404005,5231485,ALVG.DE,,ALLIANZ,DE,EUR,XETRA (DE),8532,,,1,42345,200.9,200.9,1,8507111,8507111,0.84515,
10,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,405671,IT0000062072,4056719,GASI.MI,,ASSICURAZIONI GENERALI,IT,EUR,Milan,8532,,,1,625622,16.34,16.34,1,10222663,10222663,1.01558,
11,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,407228,ES0113900J37,5705946,SAN.MC,,BCO SANTANDER,ES,EUR,SIBE,8355,,,1,2512692,4.3815,4.3815,1,11009360,11009360,1.09374,
