STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
;;GB0007908733;20190318;1388685;1
;;AU000000NAB4;20190318;1198157;1
;;AU000000BEN6;20190318;2828373;1
;;IT0000072618;20190318;7699787;1
;;HK0008011667;20190318;21623992;1
;;FR0000130809;20190318;537428;1
;;GB00B03MM408;20190318;526306;1
;;SG1T75931496;20190318;7276757;1
;;BMG988031446;20190318;4593941;1
;;CH0244767585;20190318;1251489;1
;;AU000000SGP0;20190318;5725333;1
;;GB00BDR05C01;20190318;1324081;1
;;KYG9828G1082;20190318;13042887;1
;;FR0013326246;20190318;90166;1
;;DE0005408116;20190318;465300;1
;;AU000000ANZ3;20190318;803834;1
;;GB0009252882;20190318;740623;1
;;AU000000FMG4;20190318;3026037;1
;;NZCENE0001S6;20190318;3071542;1
;;HK0006000050;20190318;2042305;1
;;SG1M77906915;20190318;6831358;1
;;FR0000121964;20190318;394182;1
;;GB0002634946;20190318;2110599;1
;;BE0003810273;20190318;484123;1
;;GB00B39J2M42;20190318;1161724;1
;;SG1L01001701;20190318;711904;1
;;US3453708600;20190318;1549992;1
;;US00206R1023;20190318;421033;1
;;SE0000148884;20190318;1242828;1
;;AU000000SUN6;20190318;1369762;1
;;BMG491BT1088;20190318;638743;1
;;CH0008038389;20190318;147912;1
;;PTEDP0AM0009;20190318;3333287;1
;;HK0004000045;20190318;4223275;1
;;DE0005552004;20190318;374806;1
;;ES0113900J37;20190318;2490759;1
;;US02209S1033;20190318;214352;1
;;JP3711200000;20190318;436401;1
;;SG1Q52922370;20190318;8450032;1
;;US55616P1049;20190318;502331;1
;;CA7392391016;20190318;525834;1
;;JP3726800000;20190318;458690;1
;;IT0000062072;20190318;620159;1
;;SG1M51904654;20190318;6527671;1
;;AU000000TLS2;20190318;4826893;1
;;SG1U68934629;20190318;2446364;1
;;SG1M31001969;20190318;592496;1
;;FI0009007132;20190318;491785;1
;;IE00B58JVZ52;20190318;230151;1
;;IT0003153415;20190318;2145833;1
;;CH0011075394;20190318;31735;1
;;HK0017000149;20190318;6588203;1
;;FR0000064578;20190318;100034;1
;;CA1360691010;20190318;123530;1
;;BMG668971101;20190318;4735850;1
;;CH0126881561;20190318;104094;1
;;AU000000SYD9;20190318;1952408;1
;;FR0000120271;20190318;171730;1
;;HK0083000502;20190318;5391372;1
;;US69351T1060;20190318;307366;1
;;CA0641491075;20190318;181836;1
;;SG1P66918738;20190318;5504383;1
;;CA56501R1064;20190318;559435;1
;;SG1B51001017;20190318;392719;1
;;DE0008404005;20190318;41975;1
;;US8425871071;20190318;183820;1
;;DE0008430026;20190318;38549;1
;;US96145D1054;20190318;243228;1
;;CA82028K2002;20190318;442369;1
;;US6745991058;20190318;137869;1
;;US91913Y1001;20190318;105248;1
;;US4592001014;20190318;64544;1
;;NL0009434992;20190318;103180;1
;;CH0008742519;20190318;18274;1
;;FR0010411983;20190318;194318;1
;;US9598021098;20190318;485643;1
;;CA6330671034;20190318;187248;1
;;HK0002007356;20190318;752477;1
;;FR0000120222;20190318;372819;1
;;CA8667961053;20190318;219042;1
;;US4601461035;20190318;182898;1
;;US92343V1044;20190318;144515;1
;;US74251V1026;20190318;157693;1
;;US7443201022;20190318;85212;1
;;US3703341046;20190318;172224;1
;;CA0636711016;20190318;104083;1
;;US26441C2044;20190318;88763;1
;;CA7800871021;20190318;102124;1
;;HK0823032773;20190318;703840;1
;;US15189T1079;20190318;244173;1
;;IE00B8KQN827;20190318;85593;1
;;US2091151041;20190318;82779;1
;;US5002551043;20190318;100670;1
;;US87612E1064;20190318;88909;1
;;US40434L1052;20190318;331655;1
;;US0255371017;20190318;77915;1
;;US7170811035;20190318;154245;1
;;US7445731067;20190318;104117;1
;;US2333311072;20190318;47989;1
;;CA7751092007;20190318;107637;1
;;NL0000303709;20200323;11860140;1
;;AU000000FMG4;20200323;4937693;1
;;GB00B03MM408;20200323;1761896;1
;;FR0000120685;20200323;7767386;1
;;FR0000121964;20200323;861223;1
;;CH0244767585;20200323;2210437;1
;;FR0013326246;20200323;250859;1
;;IT0000072618;20200323;10952492;1
;;NL0011821202;20200323;3272439;1
;;GB0002162385;20200323;6945236;1
;;HK0008011667;20200323;20557363;1
;;AU000000BEN6;20200323;4833882;1
;;NL0010773842;20200323;683908;1
;;DE0005190037;20200323;351435;1
;;BMG668971101;20200323;9604884;1
;;FR0000130809;20200323;987087;1
;;BE0003810273;20200323;671173;1
;;JP3726800000;20200323;814962;1
;;ES0113900J37;20200323;6092579;1
;;DK0010274414;20200323;1412697;1
;;KYG9828G1082;20200323;12920768;1
;;BMG988031446;20200323;7610118;1
;;BMG524401079;20200323;5952884;1
;;SG1P66918738;20200323;11811628;1
;;FR0000120271;20200323;465423;1
;;GB0007908733;20200323;1062285;1
;;SG1T75931496;20200323;8250411;1
;;JP3142500002;20200323;592089;1
;;AU000000SUN6;20200323;2848922;1
;;AU000000NAB4;20200323;1595997;1
;;GB0009252882;20200323;798561;1
;;HK0083000502;20200323;11870206;1
;;US3453708600;20200323;3099669;1
;;US96145D1054;20200323;487174;1
;;AU000000ANZ3;20200323;1474413;1
;;IT0003153415;20200323;2977084;1
;;HK0017000149;20200323;11950756;1
;;DE0005552004;20200323;503947;1
;;SE0000148884;20200323;1899474;1
;;SG1L01001701;20200323;978285;1
;;JP3711200000;20200323;630115;1
;;CA1360691010;20200323;230129;1
;;HK0006000050;20200323;1951433;1
;;SG1M31001969;20200323;847815;1
;;IT0000062072;20200323;860890;1
;;SG1M51904654;20200323;9080821;1
;;NL0009434992;20200323;245336;1
;;US4601461035;20200323;372711;1
;;US00206R1023;20200323;362497;1
;;NZCENE0001S6;20200323;3560065;1
;;FR0010411983;20200323;462969;1
;;IE00B58JVZ52;20200323;234041;1
;;FI0009007132;20200323;721112;1
;;US7443201022;20200323;242160;1
;;FR0000120222;20200323;1295908;1
;;CA82028K2002;20200323;759685;1
;;CA0641491075;20200323;289252;1
;;SG1Q52922370;20200323;12204611;1
;;CA7392391016;20200323;765435;1
