STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
;;GB0007908733;20190318;1381317;1
;;AU000000NAB4;20190318;1191800;1
;;AU000000BEN6;20190318;2813367;1
;;IT0000072618;20190318;7658934;1
;;HK0008011667;20190318;30100183;1
;;FR0000130809;20190318;534576;1
;;GB00B03MM408;20190318;523514;1
;;SG1T75931496;20190318;7238148;1
;;BMG988031446;20190318;4569566;1
;;CH0244767585;20190318;1244849;1
;;AU000000SGP0;20190318;5694956;1
;;GB00BDR05C01;20190318;1317056;1
;;KYG9828G1082;20190318;12973685;1
;;FR0013326246;20190318;89687;1
;;DE0005408116;20190318;462831;1
;;AU000000ANZ3;20190318;799569;1
;;GB0009252882;20190318;736693;1
;;AU000000FMG4;20190318;3009981;1
;;NZCENE0001S6;20190318;3249223;1
;;HK0006000050;20190318;2031469;1
;;SG1M77906915;20190318;6795112;1
;;FR0000121964;20190318;392091;1
;;GB0002634946;20190318;2099400;1
;;BE0003810273;20190318;481555;1
;;GB00B39J2M42;20190318;1155561;1
;;SG1L01001701;20190318;708127;1
;;US3453708600;20190318;1541768;1
;;US00206R1023;20190318;418799;1
;;SE0000148884;20190318;1236234;1
;;AU000000SUN6;20190318;1362494;1
;;BMG491BT1088;20190318;635354;1
;;CH0008038389;20190318;147127;1
;;PTEDP0AM0009;20190318;3315602;1
;;HK0004000045;20190318;4200867;1
;;DE0005552004;20190318;372817;1
;;ES0113900J37;20190318;2477543;1
;;US02209S1033;20190318;213214;1
;;JP3711200000;20190318;434086;1
;;SG1Q52922370;20190318;8405198;1
;;US55616P1049;20190318;499666;1
;;CA7392391016;20190318;523044;1
;;JP3726800000;20190318;456256;1
;;IT0000062072;20190318;616869;1
;;SG1M51904654;20190318;6493037;1
;;AU000000TLS2;20190318;4801283;1
;;SG1U68934629;20190318;2433384;1
;;SG1M31001969;20190318;589353;1
;;FI0009007132;20190318;489175;1
;;IE00B58JVZ52;20190318;228930;1
;;IT0003153415;20190318;2134448;1
;;CH0011075394;20190318;31566;1
;;HK0017000149;20190318;6553247;1
;;FR0000064578;20190318;99503;1
;;CA1360691010;20190318;122875;1
;;BMG668971101;20190318;4710723;1
;;CH0126881561;20190318;103541;1
;;AU000000SYD9;20190318;1942049;1
;;FR0000120271;20190318;170819;1
;;HK0083000502;20190318;5362767;1
;;US69351T1060;20190318;305735;1
;;CA0641491075;20190318;180871;1
;;SG1P66918738;20190318;5475178;1
;;CA56501R1064;20190318;556467;1
;;SG1B51001017;20190318;390635;1
;;DE0008404005;20190318;41752;1
;;US8425871071;20190318;182845;1
;;DE0008430026;20190318;38345;1
;;US96145D1054;20190318;241938;1
;;CA82028K2002;20190318;440022;1
;;US6745991058;20190318;137138;1
;;US91913Y1001;20190318;104689;1
;;US4592001014;20190318;64201;1
;;NL0009434992;20190318;102632;1
;;CH0008742519;20190318;18177;1
;;FR0010411983;20190318;193287;1
;;US9598021098;20190318;483066;1
;;CA6330671034;20190318;186254;1
;;HK0002007356;20190318;748485;1
;;FR0000120222;20190318;370841;1
;;CA8667961053;20190318;217880;1
;;US4601461035;20190318;181927;1
;;US92343V1044;20190318;143748;1
;;US74251V1026;20190318;156857;1
;;US7443201022;20190318;84760;1
;;US3703341046;20190318;171310;1
;;CA0636711016;20190318;103531;1
;;US26441C2044;20190318;88292;1
;;CA7800871021;20190318;101582;1
;;HK0823032773;20190318;700105;1
;;US15189T1079;20190318;242878;1
;;IE00B8KQN827;20190318;85139;1
;;US2091151041;20190318;82339;1
;;US5002551043;20190318;100136;1
;;US87612E1064;20190318;88438;1
;;US40434L1052;20190318;329896;1
;;US0255371017;20190318;77502;1
;;US7170811035;20190318;153426;1
;;US7445731067;20190318;103565;1
;;US2333311072;20190318;47734;1
;;CA7751092007;20190318;107066;1
;;NL0000303709;20200323;11671362;1
;;AU000000FMG4;20200323;4859100;1
;;GB00B03MM408;20200323;1733852;1
;;FR0000120685;20200323;7643753;1
;;FR0000121964;20200323;847515;1
;;CH0244767585;20200323;2175253;1
;;FR0013326246;20200323;246866;1
;;IT0000072618;20200323;10778161;1
;;NL0011821202;20200323;3220352;1
;;GB0002162385;20200323;6834688;1
;;HK0008011667;20200323;31603988;1
;;AU000000BEN6;20200323;4756941;1
;;NL0010773842;20200323;673022;1
;;DE0005190037;20200323;406915;1
;;BMG668971101;20200323;15053929;1
;;FR0000130809;20200323;971376;1
;;BE0003810273;20200323;660490;1
;;JP3726800000;20200323;801990;1
;;ES0113900J37;20200323;5995603;1
;;DK0010274414;20200323;1390211;1
;;KYG9828G1082;20200323;12715108;1
;;BMG988031446;20200323;10391090;1
;;BMG524401079;20200323;5858132;1
;;SG1P66918738;20200323;11623622;1
;;FR0000120271;20200323;458015;1
;;GB0007908733;20200323;1045377;1
;;SG1T75931496;20200323;8119089;1
;;JP3142500002;20200323;582664;1
;;AU000000SUN6;20200323;2803575;1
;;AU000000NAB4;20200323;1570593;1
;;GB0009252882;20200323;785850;1
;;HK0083000502;20200323;11681268;1
;;US3453708600;20200323;3050331;1
;;US96145D1054;20200323;479420;1
;;AU000000ANZ3;20200323;1450945;1
;;IT0003153415;20200323;2929698;1
;;HK0017000149;20200323;11760535;1
;;DE0005552004;20200323;495925;1
;;SE0000148884;20200323;1869240;1
;;SG1L01001701;20200323;962713;1
;;JP3711200000;20200323;620085;1
;;CA1360691010;20200323;226466;1
;;HK0006000050;20200323;1920372;1
;;SG1M31001969;20200323;834321;1
;;IT0000062072;20200323;847187;1
;;SG1M51904654;20200323;8936282;1
;;NL0009434992;20200323;241431;1
;;US4601461035;20200323;366778;1
;;US00206R1023;20200323;356727;1
;;NZCENE0001S6;20200323;3503400;1
;;FR0010411983;20200323;455600;1
;;IE00B58JVZ52;20200323;230316;1
;;FI0009007132;20200323;709634;1
;;US7443201022;20200323;238306;1
;;FR0000120222;20200323;1275281;1
;;CA82028K2002;20200323;747593;1
;;CA0641491075;20200323;284648;1
;;SG1Q52922370;20200323;12010350;1
;;CA7392391016;20200323;753252;1
;;PA1436583006;20200323;755640;1
;;HK0823032773;20200323;1088312;1
;;FR0000131104;20200323;326773;1
;;US9497461015;20200323;347453;1
;;CH0011075394;20200323;31499;1
;;US4592001014;20200323;91646;1
;;SG1B51001017;20200323;733568;1
;;US3546131018;20200323;560415;1
;;DE0008404005;20200323;60422;1
;;US92343V1044;20200323;167890;1
;;CH0126881561;20200323;148734;1
;;CA0636711016;20200323;216118;1
;;US91913Y1001;20200323;254728;1
;;HK0002007356;20200323;982125;1
;;US7170811035;20200323;286677;1
;;SG1U68934629;20200323;2334954;1
;;US15189T1079;20200323;641275;1
;;CA56501R1064;20200323;866781;1
;;CA7800871021;20200323;154858;1
;;US2003401070;20200323;279806;1
;;US74251V1026;20200323;308245;1
;;US69351T1060;20200323;393083;1
;;US37045V1008;20200323;409289;1
;;US3703341046;20200323;151400;1
;;AU000000SYD9;20200323;2492062;1
;;US1746101054;20200323;438333;1
;;FR0000064578;20200323;127192;1
;;US9598021098;20200323;367778;1
;;US56585A1025;20200323;404472;1
;;US9290421091;20200323;218557;1
;;CA6330671034;20200323;243430;1
;;US8425871071;20200323;148973;1
;;US26441C2044;20200323;96928;1
;;SG1M77906915;20200323;3959090;1
;;CA8667961053;20200323;246826;1
;;US7445731067;20200323;162125;1
;;US2333311072;20200323;75277;1
;;CA7751092007;20200323;176312;1
;;US2091151041;20200323;87678;1
;;US40434L1052;20200323;366373;1
;;AU000000SGP0;20200323;4360451;1
;;AU000000FMG4;20210322;2027114;1
;;AU000000HVN7;20210322;5594355;1
;;GB0009252882;20210322;1222914;1
;;HK0006000050;20210322;3610470;1
;;AU000000JBH7;20210322;531352;1
;;GB0005603997;20210322;5403526;1
;;GB0007908733;20210322;1002048;1
;;GB00B06QFB75;20210322;1490761;1
;;JP3726800000;20210322;929063;1
;;FR0000133308;20210322;1412771;1
;;BE0003810273;20210322;809710;1
;;NL0010773842;20210322;343617;1
;;NZCENE0001S6;20210322;3380632;1
;;HK0000608585;20210322;3172640;1
;;SG1Q52922370;20210322;14013453;1
;;JP3752900005;20210322;1550661;1
;;US69351T1060;20210322;520776;1
;;JP3768600003;20210322;994863;1
;;HK0083000502;20210322;10258070;1
;;CA7392391016;20210322;540465;1
;;SG1T75931496;20210322;8148510;1
;;IT0003153415;20210322;2545746;1
;;IT0003497176;20210322;25249567;1
;;JP3890350006;20210322;351805;1
;;SG1M77906915;20210322;5988730;1
;;SG1M51904654;20210322;8361250;1
;;JP3117700009;20210322;5146032;1
;;HK0002007356;20210322;1382862;1
;;JP3500610005;20210322;2936926;1
;;JP3885780001;20210322;831225;1
;;AU000000EVN4;20210322;3886779;1
;;BE0974264930;20210322;215082;1
;;US4592001014;20210322;96401;1
;;IT0003796171;20210322;1002665;1
;;JP3902900004;20210322;2085017;1
;;CH0012214059;20210322;218186;1
;;KYG6382M1096;20210322;10002854;1
;;FI0009007132;20210322;458056;1
;;DE000A0LD2U1;20210322;729431;1
;;CA1360691010;20210322;120886;1
;;SE0005190238;20210322;917218;1
;;JP3898400001;20210322;392373;1
;;JP3499800005;20210322;1828868;1
;;FR0000064578;20210322;138491;1
;;KYG9828G1082;20210322;3518002;1
;;CA0641491075;20210322;183932;1
;;CH0011075394;20210322;26456;1
;;LU0775917882;20210322;439847;1
;;DE0005190037;20210322;143027;1
;;DE0008303504;20210322;382468;1
;;DE0008404005;20210322;44183;1
;;US2091151041;20210322;151201;1
;;AU000000SUN6;20210322;1408853;1
;;US7170811035;20210322;300027;1
;;CA56501R1064;20210322;490072;1
;;SG1L01001701;20210322;494139;1
;;AT0000743059;20210322;204583;1
;;US26441C2044;20210322;111177;1
;;US92343V1044;20210322;182803;1
;;US29364G1031;20210322;104835;1
;;US8425871071;20210322;170216;1
;;SG1M31001969;20210322;534041;1
;;CA8911605092;20210322;151769;1
;;CA0636711016;20210322;111877;1
;;AU000000BEN6;20210322;1291719;1
;;CH0014852781;20210322;19794;1
;;DE000PAH0038;20210322;85539;1
;;FR0000130577;20210322;158317;1
;;CA7800871021;20210322;103273;1
;;DE000EVNK013;20210322;270761;1
;;US4601461035;20210322;171229;1
;;CA7751092007;20210322;185147;1
;;US14149Y1082;20210322;151365;1
;;NL0009434992;20210322;83181;1
;;US3703341046;20210322;142625;1
;;CA6330671034;20210322;123338;1
;;US7445731067;20210322;149218;1
;;FI0009005318;20210322;243715;1
;;US74251V1026;20210322;144861;1
;;CA8667961053;20210322;167471;1
;;US8168511090;20210322;66832;1
;;US4461501045;20210322;535810;1
;;US2333311072;20210322;65467;1
;;IE00B58JVZ52;20210322;105914;1
;;US31620R3030;20210322;205122;1
;;US1746101054;20210322;179895;1
;;AU000000NAB4;20210322;383318;1
;;US4932671088;20210322;389311;1
;;US9029733048;20210322;140804;1
;;US8326964058;20210322;59759;1
;;US2058871029;20210322;198576;1
;;IT0000062072;20210322;378988;1
;;US0311621009;20210322;30270;1
;;US5398301094;20210322;20724;1
;;CH0244767585;20210322;447829;1
;;US59156R1086;20210322;119008;1
;;DE0005552004;20210322;128606;1
;;US89832Q1094;20210322;119928;1
;;US3167731005;20210322;183119;1
;;US40434L1052;20210322;197178;1
;;AU000000FMG4;20220321;3059064;1
;;GB0007188757;20220321;345921;1
;;DK0010244425;20220321;7816;1
;;AU000000RIO1;20220321;282809;1
;;JP3362700001;20220321;234339;1
;;KYG9828G1082;20220321;6966862;1
;;GB0005603997;20220321;4791408;1
;;ES0167050915;20220321;644466;1
;;AU000000HVN7;20220321;4200439;1
;;HK0000608585;20220321;4261349;1
;;JP3386030005;20220321;1142105;1
;;AU000000SUN6;20220321;1895466;1
;;FR0000045072;20220321;1273925;1
;;FR0010242511;20220321;1535520;1
;;NL0011872643;20220321;321040;1
;;HK0083000502;20220321;11158554;1
;;HK0012000102;20220321;3395400;1
;;GB00B06QFB75;20220321;1399236;1
;;AU000000BEN6;20220321;1954626;1
;;HK0016000132;20220321;1177949;1
;;DE0007100000;20220321;201758;1
;;FR0000131104;20220321;241404;1
;;HK0006000050;20220321;2173532;1
;;SG1Q52922370;20220321;10965254;1
;;GB0009252882;20220321;644476;1
;;FI0009005318;20220321;762847;1
;;AU000000JBH7;20220321;364718;1
;;JP3381000003;20220321;741643;1
;;JP3726800000;20220321;785195;1
;;NL0010773842;20220321;271569;1
;;SG1M51904654;20220321;7797104;1
;;FR0013269123;20220321;415155;1
;;CH0012214059;20220321;255820;1
;;JP3502200003;20220321;2117586;1
;;FR0010411983;20220321;404751;1
;;BE0974264930;20220321;245965;1
;;FR0000133308;20220321;1047124;1
;;GB0007908733;20220321;549451;1
;;BE0003810273;20220321;629839;1
;;IT0000062072;20220321;570211;1
;;AU000000NAB4;20220321;497862;1
;;JP3885780001;20220321;807586;1
;;SG1M31001969;20220321;455453;1
