Date;Next_Trading_Day;Index_Symbol;Internal_Key;ISIN;Company_Name;RIC_Code;BBG_Code;SEDOL;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Shares;Free_Float;Close_Local;Close_EUR;Close_USD;Close_GBP;Close_JPY;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Event_next_trading_day;New_Internal_Key;New_ISIN;New_Company_Name;New_RIC_Code;New_BBG_Code;New_SEDOL;New_Country;New_Currency;New_Exchange;New_Industry;New_Supersector;New_Sector;New_Subsector;New_Shares;New_Free_Float;Close_adjusted_local;Close_adjusted_EUR;Close_adjusted_USD;Close_adjusted_GBP;Close_adjusted_JPY;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;
2024-03-25;2024-03-26;SDGP;RY;CA7800871021;Royal Bank of Canada;RY.TO;RY CN Equity;2754383;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;;;135.07;91.7657611;99.4511436;78.6524338;15059.389992;;;;;;;;;;;0;RY;CA7800871021;Royal Bank of Canada;RY.TO;RY CN Equity;2754383;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;;;135.07;91.7657611;99.4511436;78.6524338;15059.389992;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;642012;SG1M51904654;CAPTIALAND INT COMM TRUST;CMLT.SI;CICT SP Equity;6420129;SG;SGD;Singapore Exchange;35;3510;351020;35102045;;;1.97;1.3503791;1.4634733;1.1574099;221.6064604;;;;;;;;;;;0;642012;SG1M51904654;CAPTIALAND INT COMM TRUST;CMLT.SI;CICT SP Equity;6420129;SG;SGD;Singapore Exchange;35;3510;351020;35102045;;;1.97;1.3503791;1.4634733;1.1574099;221.6064604;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;413366;FR0000131104;BNP PARIBAS;BNPP.PA1;BNP FP Equity;7309681;FR;EUR;EURONEXT Paris;30;3010;301010;30101010;;;62.49;62.49;67.7235375;53.560179;10255.0370565;;;;;;;;;;;0;413366;FR0000131104;BNP PARIBAS;BNPP.PA1;BNP FP Equity;7309681;FR;EUR;EURONEXT Paris;30;3010;301010;30101010;;;62.49;62.49;67.7235375;53.560179;10255.0370565;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;DVN;US25179M1036;Devon Energy Corp.;DVN.N;DVN UN Equity;2480677;US;USD;NYSE;60;6010;601010;60101010;;;49.05;45.259519;49.0500037;38.7919337;7427.3970956;;;;;;;;;;;0;DVN;US25179M1036;Devon Energy Corp.;DVN.N;DVN UN Equity;2480677;US;USD;NYSE;60;6010;601010;60101010;;;49.05;45.259519;49.0500037;38.7919337;7427.3970956;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;BNS;CA0641491075;Bank of Nova Scotia;BNS.TO;BNS CN Equity;2076281;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;;;68.36;46.4433807;50.3330138;39.8066216;7621.67691;;;;;;;;;;;0;BNS;CA0641491075;Bank of Nova Scotia;BNS.TO;BNS CN Equity;2076281;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;;;68.36;46.4433807;50.3330138;39.8066216;7621.67691;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;040054;GB0005405286;HSBC;HSBA.L;HSBA LN Equity;0540528;GB;GBP;London Stock Exchange;30;3010;301010;30101010;;;6.246;7.2873656;7.8976825;6.2460011;1195.9066134;;;;;;;;;;;0;040054;GB0005405286;HSBC;HSBA.L;HSBA LN Equity;0540528;GB;GBP;London Stock Exchange;30;3010;301010;30101010;;;6.246;7.2873656;7.8976825;6.2460011;1195.9066134;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;401632;DE0008404005;ALLIANZ;ALVG.DE;ALV GY Equity;5231485;DE;EUR;Deutsche Boerse;30;3030;303020;30302010;;;275.2;275.2;298.248;235.87392;45162.20512;;;;;;;;;;;0;401632;DE0008404005;ALLIANZ;ALVG.DE;ALV GY Equity;5231485;DE;EUR;Deutsche Boerse;30;3030;303020;30302010;;;275.2;275.2;298.248;235.87392;45162.20512;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;619091;HK0002007356;CLP Holdings Ltd.;0002.HK;2 HK Equity;6097017;HK;HKD;Stock Exchange of Hong Kong;65;6510;651010;65101015;;;62.95;7.4265892;8.048566;6.3653296;1218.7541599;;;;;;;;;;;0;619091;HK0002007356;CLP Holdings Ltd.;0002.HK;2 HK Equity;6097017;HK;HKD;Stock Exchange of Hong Kong;65;6510;651010;65101015;;;62.95;7.4265892;8.048566;6.3653296;1218.7541599;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;663376;HK0000608585;New World Development Co. Ltd.;0017.HK;17 HK Equity;BM94GQ4;HK;HKD;Stock Exchange of Hong Kong;35;3510;351010;35101010;;;8.57;1.0110543;1.0957301;.8665746;165.9209364;;;;;;;;;;;0;663376;HK0000608585;New World Development Co. Ltd.;0017.HK;17 HK Equity;BM94GQ4;HK;HKD;Stock Exchange of Hong Kong;35;3510;351010;35101010;;;8.57;1.0110543;1.0957301;.8665746;165.9209364;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;486809;DK0010311471;SYDBANK;SYDB.CO;SYDB DC Equity;B06JSP1;DK;DKK;NASDAQ  Copenhagen;30;3010;301010;30101010;;;353.6;47.4115366;51.3822528;40.636428;7780.5579251;;;;;;;;;;;0;486809;DK0010311471;SYDBANK;SYDB.CO;SYDB DC Equity;B06JSP1;DK;DKK;NASDAQ  Copenhagen;30;3010;301010;30101010;;;353.6;47.4115366;51.3822528;40.636428;7780.5579251;;;;;;;;;;;
