impdt;effdt;mth;yr
17.03.2000;20.03.2000;3;2000
16.06.2000;19.06.2000;6;2000
15.09.2000;18.09.2000;9;2000
15.12.2000;18.12.2000;12;2000
16.03.2001;19.03.2001;3;2001
15.06.2001;18.06.2001;6;2001
21.09.2001;24.09.2001;9;2001
16.11.2001;19.11.2001;11;2001
21.12.2001;24.12.2001;12;2001
18.01.2002;21.01.2002;1;2002
15.02.2002;18.02.2002;2;2002
15.03.2002;18.03.2002;3;2002
19.04.2002;22.04.2002;4;2002
17.05.2002;20.05.2002;5;2002
21.06.2002;24.06.2002;6;2002
19.07.2002;22.07.2002;7;2002
16.08.2002;19.08.2002;8;2002
20.09.2002;23.09.2002;9;2002
18.10.2002;21.10.2002;10;2002
15.11.2002;18.11.2002;11;2002
20.12.2002;23.12.2002;12;2002
17.01.2003;20.01.2003;1;2003
21.02.2003;24.02.2003;2;2003
21.03.2003;24.03.2003;3;2003
17.04.2003;22.04.2003;4;2003
16.05.2003;19.05.2003;5;2003
20.06.2003;23.06.2003;6;2003
18.07.2003;21.07.2003;7;2003
15.08.2003;18.08.2003;8;2003
19.09.2003;22.09.2003;9;2003
17.10.2003;20.10.2003;10;2003
21.11.2003;24.11.2003;11;2003
19.12.2003;22.12.2003;12;2003
16.01.2004;19.01.2004;1;2004
20.02.2004;23.02.2004;2;2004
19.03.2004;22.03.2004;3;2004
16.04.2004;19.04.2004;4;2004
21.05.2004;24.05.2004;5;2004
18.06.2004;21.06.2004;6;2004
16.07.2004;19.07.2004;7;2004
20.08.2004;23.08.2004;8;2004
17.09.2004;20.09.2004;9;2004
15.10.2004;18.10.2004;10;2004
19.11.2004;22.11.2004;11;2004
17.12.2004;20.12.2004;12;2004
21.01.2005;24.01.2005;1;2005
18.02.2005;21.02.2005;2;2005
18.03.2005;21.03.2005;3;2005
15.04.2005;18.04.2005;4;2005
20.05.2005;23.05.2005;5;2005
17.06.2005;20.06.2005;6;2005
15.07.2005;18.07.2005;7;2005
19.08.2005;22.08.2005;8;2005
16.09.2005;19.09.2005;9;2005
21.10.2005;24.10.2005;10;2005
18.11.2005;21.11.2005;11;2005
16.12.2005;19.12.2005;12;2005
20.01.2006;23.01.2006;1;2006
17.02.2006;20.02.2006;2;2006
17.03.2006;20.03.2006;3;2006
21.04.2006;24.04.2006;4;2006
19.05.2006;22.05.2006;5;2006
16.06.2006;19.06.2006;6;2006
21.07.2006;24.07.2006;7;2006
18.08.2006;21.08.2006;8;2006
15.09.2006;18.09.2006;9;2006
20.10.2006;23.10.2006;10;2006
17.11.2006;20.11.2006;11;2006
15.12.2006;18.12.2006;12;2006
19.01.2007;22.01.2007;1;2007
16.02.2007;19.02.2007;2;2007
16.03.2007;19.03.2007;3;2007
20.04.2007;23.04.2007;4;2007
18.05.2007;21.05.2007;5;2007
15.06.2007;18.06.2007;6;2007
20.07.2007;23.07.2007;7;2007
17.08.2007;20.08.2007;8;2007
21.09.2007;24.09.2007;9;2007
19.10.2007;22.10.2007;10;2007
16.11.2007;19.11.2007;11;2007
21.12.2007;24.12.2007;12;2007
18.01.2008;21.01.2008;1;2008
15.02.2008;18.02.2008;2;2008
20.03.2008;25.03.2008;3;2008
18.04.2008;21.04.2008;4;2008
16.05.2008;19.05.2008;5;2008
20.06.2008;23.06.2008;6;2008
18.07.2008;21.07.2008;7;2008
15.08.2008;18.08.2008;8;2008
19.09.2008;22.09.2008;9;2008
17.10.2008;20.10.2008;10;2008
21.11.2008;24.11.2008;11;2008
19.12.2008;22.12.2008;12;2008
16.01.2009;19.01.2009;1;2009
20.02.2009;23.02.2009;2;2009
20.03.2009;23.03.2009;3;2009
17.04.2009;20.04.2009;4;2009
15.05.2009;18.05.2009;5;2009
19.06.2009;22.06.2009;6;2009
17.07.2009;20.07.2009;7;2009
21.08.2009;24.08.2009;8;2009
18.09.2009;21.09.2009;9;2009
16.10.2009;19.10.2009;10;2009
20.11.2009;23.11.2009;11;2009
18.12.2009;21.12.2009;12;2009
15.01.2010;18.01.2010;1;2010
19.02.2010;22.02.2010;2;2010
19.03.2010;22.03.2010;3;2010
16.04.2010;19.04.2010;4;2010
21.05.2010;24.05.2010;5;2010
18.06.2010;21.06.2010;6;2010
16.07.2010;19.07.2010;7;2010
20.08.2010;23.08.2010;8;2010
17.09.2010;20.09.2010;9;2010
15.10.2010;18.10.2010;10;2010
19.11.2010;22.11.2010;11;2010
17.12.2010;20.12.2010;12;2010
21.01.2011;24.01.2011;1;2011
18.02.2011;21.02.2011;2;2011
18.03.2011;21.03.2011;3;2011
15.04.2011;18.04.2011;4;2011
20.05.2011;23.05.2011;5;2011
17.06.2011;20.06.2011;6;2011
15.07.2011;18.07.2011;7;2011
19.08.2011;22.08.2011;8;2011
16.09.2011;19.09.2011;9;2011
21.10.2011;24.10.2011;10;2011
18.11.2011;21.11.2011;11;2011
16.12.2011;19.12.2011;12;2011
20.01.2012;23.01.2012;1;2012
17.02.2012;20.02.2012;2;2012
16.03.2012;19.03.2012;3;2012
20.04.2012;23.04.2012;4;2012
18.05.2012;21.05.2012;5;2012
15.06.2012;18.06.2012;6;2012
20.07.2012;23.07.2012;7;2012
17.08.2012;20.08.2012;8;2012
21.09.2012;24.09.2012;9;2012
19.10.2012;22.10.2012;10;2012
16.11.2012;19.11.2012;11;2012
21.12.2012;24.12.2012;12;2012
18.01.2013;21.01.2013;1;2013
15.02.2013;18.02.2013;2;2013
15.03.2013;18.03.2013;3;2013
19.04.2013;22.04.2013;4;2013
17.05.2013;20.05.2013;5;2013
21.06.2013;24.06.2013;6;2013
19.07.2013;22.07.2013;7;2013
16.08.2013;19.08.2013;8;2013
20.09.2013;23.09.2013;9;2013
18.10.2013;21.10.2013;10;2013
15.11.2013;18.11.2013;11;2013
20.12.2013;23.12.2013;12;2013
17.01.2014;20.01.2014;1;2014
21.02.2014;24.02.2014;2;2014
21.03.2014;24.03.2014;3;2014
17.04.2014;22.04.2014;4;2014
16.05.2014;19.05.2014;5;2014
20.06.2014;23.06.2014;6;2014
18.07.2014;21.07.2014;7;2014
15.08.2014;18.08.2014;8;2014
19.09.2014;22.09.2014;9;2014
17.10.2014;20.10.2014;10;2014
21.11.2014;24.11.2014;11;2014
19.12.2014;22.12.2014;12;2014
16.01.2015;19.01.2015;1;2015
20.02.2015;23.02.2015;2;2015
20.03.2015;23.03.2015;3;2015
17.04.2015;20.04.2015;4;2015
15.05.2015;18.05.2015;5;2015
19.06.2015;22.06.2015;6;2015
17.07.2015;20.07.2015;7;2015
21.08.2015;24.08.2015;8;2015
18.09.2015;21.09.2015;9;2015
16.10.2015;19.10.2015;10;2015
20.11.2015;23.11.2015;11;2015
18.12.2015;21.12.2015;12;2015
18.03.2016;21.03.2016;3;2016
17.06.2016;20.06.2016;6;2016
16.09.2016;19.09.2016;9;2016
16.12.2016;19.12.2016;12;2016
17.03.2017;20.03.2017;3;2017
16.06.2017;19.06.2017;6;2017
15.09.2017;18.09.2017;9;2017
15.12.2017;18.12.2017;12;2017
